id,created_at,text
1354061528320897027,2021-01-26 13:40:00,"It's not too late to register for tomorrow's FREE lecture, Education Beyond Boarders, with @LaurierEdu faculty… https://t.co/hx83hu1YxR"
1353829056807100417,2021-01-25 22:16:14,The winners of the 2021 ALA Youth Media Awards were announced this morning. Book Riot has got the scoop on the winn… https://t.co/2580kQAdJK
1353780929567707141,2021-01-25 19:05:00,Family Literacy Week is full of fun activities for the whole family! There is something new and exciting going on e… https://t.co/n6M23uEnkt
1353773116154130434,2021-01-25 18:33:57,@citywaterloo We are very excited to host this fun cozy murder mystery night. You can register now at: https://t.co/a3GAGELKpG
1353772995748233216,2021-01-25 18:33:28,@marty_d_ @citywaterloo It is going to be such a fun night! You can register at: https://t.co/a3GAGELKpG
1353742938707271683,2021-01-25 16:34:02,"English novelist Mary Shelley was born in 1797. Most well known as the author of the Gothic classic, Frankenstein,… https://t.co/2Gr3PCuA3m"
1353721221171601409,2021-01-25 15:07:44,February...the month of love. Why not find out what makes that love tick? We are very excited for this lecture in p… https://t.co/19tWpNXvDm
1353693170052329472,2021-01-25 13:16:16,@WUPHF Amazing! A WUPHF retweet would be great 😊
1353417287613747200,2021-01-24 19:00:01,Ever wonder what history’s greatest spies really got up to? @bookriot shares five historical spy thrillers based in… https://t.co/6zbxLMjxHK
1353357389102104576,2021-01-24 15:02:00,"We were so excited about this news that we considered sending out a WUPHF, but then we though ""nah, social media is… https://t.co/c4oEJqbBEI"
1353094657253621760,2021-01-23 21:38:00,Family Literacy Week kicks off with a bang! Don't miss this FREE virtual @ericktraplin concert hosted by WPL and ou… https://t.co/DVTw62I96g
1353058670200958976,2021-01-23 19:15:00,"We can't thank our customers enough! We thank you for your support, your kind words, your patience and your flexibi… https://t.co/vuhZ5WYqof"
1353053593050308610,2021-01-23 18:54:49,We can’t wait!!!! https://t.co/evUX3smX17
1353043570689765376,2021-01-23 18:15:00,"WPL blogger Shaye R. recently discussed Alexandre Rockwell's film, In the Soup, starring Steve Buscemi with, well,… https://t.co/NCEqiMpbxc"
1352967318138015744,2021-01-23 13:12:00,We'll be live today at 11am in celebration of #Winterloo. Check out our LIVE winter storytime and fun winter crafts… https://t.co/DdHVFdV3OT
1352705241196744711,2021-01-22 19:50:36,Check out this awesome article by @cardamomaddict on PressReader. Jasmine will be joining us in February for an awe… https://t.co/sXvSAMhszg
1352661805093580808,2021-01-22 16:58:00,#downloadLibrary reached 1 million+ checkouts in 2020! Congrats to our community of super readers &amp; to all of the l… https://t.co/6UQPc1wxH7
1352640686542221312,2021-01-22 15:34:05,"RT @Laurier: We are very excited to be working with @WaterlooLibrary to bring you a new virtual lecture series, Laurier EdTalks. The first…"
1352640037431758849,2021-01-22 15:31:30,"On this day in 1981, Rolling Stone released its latest magazine, featuring a soon-to-be iconic photo of John Lennon… https://t.co/UchgqkaNkI"
1352605685364756480,2021-01-22 13:15:00,"Whether you want to turn your grandmother's tablecloth into a work of art, or simply want to learn how to stretch c… https://t.co/iZS74PTAgZ"
1352330119411453956,2021-01-21 19:00:00,"The latest book by Canadian singer-songwriter @jannarden focuses on getting sober, aging and discovering what she r… https://t.co/zA6FeMIAU1"
1352262725423017984,2021-01-21 14:32:12,"Beautiful Victoria Park in @CityKitchener The park, with its man-made 5 acre lake, was officially opened on August… https://t.co/64stBAjhkH"
1352261587206369288,2021-01-21 14:27:40,Such a great pleasure to have @TerryFallis join us last night for a virtual book chat. Thank you to Mr. Fallis and… https://t.co/MJUYxMYHjc
1352246317481746433,2021-01-21 13:27:00,We are excited to be part of the 23rd Annual Family Literacy Week. From Jan 24-30 you can take part in fun literacy… https://t.co/XFdmQyTqJX
1352036937826148357,2021-01-20 23:35:00,We are excited to once again be part of the #Winterloo festivities this year with @CreateWaterloo. Join us this Sat… https://t.co/APXSYjwxve
1351992960221671429,2021-01-20 20:40:15,@MelGillespie1 @Hippopottoman @KitchLibrary That is correct. We will have no fines in 2021. We hope it is something… https://t.co/d6ECbOVDh1
1351963292609163266,2021-01-20 18:42:21,It can be tricky to get teens to read. The Forest of Reading program has a category specifically designed to captur… https://t.co/icdfXm6M4U
1351934764425441280,2021-01-20 16:49:00,All of our February events &amp; programs are now on our online calendar and ready for you to browse! We have a great a… https://t.co/lw3P2EcrRU
1351877638390861825,2021-01-20 13:02:00,"Join in the discussion, tonight at 7pm, as @TerryFallis talks about and reads from his most recent novel Albatross,… https://t.co/0Ad2KZz4BC"
1351876949313015809,2021-01-20 12:59:16,@MelGillespie1 Hi Mel! Good news. We are currently fine free 😊
1351628323751923716,2021-01-19 20:31:19,"@ExploreWR Hi @ExploreWR. That is actually a stock image, not one we took ourselves."
1351605343709667329,2021-01-19 19:00:00,"As our staycation time carries on, we continue to share photos of libraries visited by WPL staff on their vacations… https://t.co/bJfoxlnbAw"
