,OccasionalVolunteer,"Population,-2016",age_distribution_0-to-14-years,age_distribution_15-to-64-years,age_distribution_65-years-and-over,age_distribution_85-years-and-over,age_Average-age-of-the-population,age_Median-age-of-the-population,family_%-married-or-living-common-law,family_Average-size-of-census-families,family_%-census-families-that-are-couples,family_%-couples-with-children,income_Median-employment-income-in-2015-for-full-year-full-time-workers-over-15-($),income_Average-employment-income-in-2015-for-full-year-full-time-workers-over-15-($),income_Median-total-income-of-households-in-2015-($),"income_Prevalence-of-low-income-based-on-the-Low-income-measure,-after-tax-(LIM-AT)-(%)",citizenship_%-canadian-citizens,citizenship_%-immigrants,dwellings_%-owners,dwellings_%-renters,"education_%-no-certificate,-diploma-or-degree",education_%-high-school-diploma,"education_%-postsecondary-certificate,-diploma-or-degree",education_%-apprenticeship-or-trades-certificate-or-diploma,education_%-college-certificate-or-diplome,education_%-bachelor-or-above,labour_force_Participation-rate,labour_force_Employment-rate,labour_force_Unemployment-rate,AgeGroupNumeric,YearsVolunteeredGroupNumeric
34,1.0,16501.0,0.13699999999999998,0.669,0.193,0.026000000000000002,43.3,45.0,0.560238848,2.8,0.816580311,0.46954314700000005,50399.0,57187.0,67375.0,0.10099999999999999,0.9654750990000001,0.224633252,0.623504574,0.375791696,0.203605514,0.30399434399999997,0.492753623,0.084482149,0.23753976699999999,0.156592435,0.65,0.605,0.07,35.0,1.0
35,1.0,13407.0,0.11,0.721,0.16899999999999998,0.025,41.8,38.9,0.447798742,2.6,0.8,0.350775194,48126.0,56511.0,48505.0,0.22899999999999998,0.912591452,0.237966885,0.334517045,0.665482955,0.18024263399999998,0.267764298,0.5519930679999999,0.04722703599999999,0.19150779899999998,0.29982669,0.649,0.596,0.08199999999999999,35.0,1.0
36,1.0,39149.0,0.207,0.687,0.106,0.015,36.4,35.5,0.586112454,3.1,0.802797834,0.6143901070000001,50514.0,55764.0,77036.0,0.11800000000000001,0.929521105,0.300761585,0.688937568,0.310332238,0.19132569600000002,0.31325695600000003,0.495417349,0.066121113,0.234860884,0.177414075,0.72,0.672,0.067,18.0,1.0
37,1.0,39149.0,0.207,0.687,0.106,0.015,36.4,35.5,0.586112454,3.1,0.802797834,0.6143901070000001,50514.0,55764.0,77036.0,0.11800000000000001,0.929521105,0.300761585,0.688937568,0.310332238,0.19132569600000002,0.31325695600000003,0.495417349,0.066121113,0.234860884,0.177414075,0.72,0.672,0.067,35.0,1.0
38,0.0,20701.0,0.187,0.6970000000000001,0.11599999999999999,0.013000000000000001,38.1,39.5,0.631203566,3.1,0.869674185,0.637848223,71976.0,84436.0,109496.0,0.091,0.904645477,0.304964539,0.885174419,0.114825581,0.109876914,0.241368958,0.649054338,0.034223957,0.156109276,0.438306815,0.695,0.647,0.069,25.0,1.0
39,1.0,27758.0,0.121,0.71,0.16899999999999998,0.026000000000000002,39.2,33.3,0.466079115,2.8,0.838391502,0.441628959,56592.0,69782.0,60683.0,0.22699999999999998,0.8323920570000001,0.22718163600000002,0.46444906399999997,0.535550936,0.113380575,0.306586078,0.5802417670000001,0.038766153,0.144852022,0.37744893700000004,0.58,0.532,0.083,45.0,1.0
40,1.0,27758.0,0.121,0.71,0.16899999999999998,0.026000000000000002,39.2,33.3,0.466079115,2.8,0.838391502,0.441628959,56592.0,69782.0,60683.0,0.22699999999999998,0.8323920570000001,0.22718163600000002,0.46444906399999997,0.535550936,0.113380575,0.306586078,0.5802417670000001,0.038766153,0.144852022,0.37744893700000004,0.58,0.532,0.083,55.0,1.0
41,1.0,27758.0,0.121,0.71,0.16899999999999998,0.026000000000000002,39.2,33.3,0.466079115,2.8,0.838391502,0.441628959,56592.0,69782.0,60683.0,0.22699999999999998,0.8323920570000001,0.22718163600000002,0.46444906399999997,0.535550936,0.113380575,0.306586078,0.5802417670000001,0.038766153,0.144852022,0.37744893700000004,0.58,0.532,0.083,25.0,1.0
42,1.0,39149.0,0.207,0.687,0.106,0.015,36.4,35.5,0.586112454,3.1,0.802797834,0.6143901070000001,50514.0,55764.0,77036.0,0.11800000000000001,0.929521105,0.300761585,0.688937568,0.310332238,0.19132569600000002,0.31325695600000003,0.495417349,0.066121113,0.234860884,0.177414075,0.72,0.672,0.067,18.0,1.0
43,1.0,39149.0,0.207,0.687,0.106,0.015,36.4,35.5,0.586112454,3.1,0.802797834,0.6143901070000001,50514.0,55764.0,77036.0,0.11800000000000001,0.929521105,0.300761585,0.688937568,0.310332238,0.19132569600000002,0.31325695600000003,0.495417349,0.066121113,0.234860884,0.177414075,0.72,0.672,0.067,18.0,1.0
