VolunteerID,FSA,AgeGroup,YearsVolunteeredGroup,OccasionalVolunteer,RegularVolunteer,Donor,FirstDonationYear,NumberDonations,SumDonationsGroup,"Population,-2016",age_distribution_0-to-14-years,age_distribution_15-to-64-years,age_distribution_65-years-and-over,age_distribution_85-years-and-over,age_Average-age-of-the-population,age_Median-age-of-the-population,family_%-married-or-living-common-law,family_Average-size-of-census-families,family_%-census-families-that-are-couples,family_%-couples-with-children,income_Median-employment-income-in-2015-for-full-year-full-time-workers-over-15-($),income_Average-employment-income-in-2015-for-full-year-full-time-workers-over-15-($),income_Median-total-income-of-households-in-2015-($),"income_Prevalence-of-low-income-based-on-the-Low-income-measure,-after-tax-(LIM-AT)-(%)",citizenship_%-canadian-citizens,citizenship_%-immigrants,dwellings_%-owners,dwellings_%-renters,"education_%-no-certificate,-diploma-or-degree",education_%-high-school-diploma,"education_%-postsecondary-certificate,-diploma-or-degree",education_%-apprenticeship-or-trades-certificate-or-diploma,education_%-college-certificate-or-diplome,education_%-bachelor-or-above,labour_force_Participation-rate,labour_force_Employment-rate,labour_force_Unemployment-rate
46,N2E,under 20,less than 1,1,0,N,,,,39149,0.207,0.687,0.106,0.015,36.4,35.5,0.586112454,3.1,0.802797834,0.614390107,50514,55764,77036,0.118,0.929521105,0.300761585,0.688937568,0.310332238,0.191325696,0.313256956,0.495417349,0.066121113,0.234860884,0.177414075,0.72,0.672,0.067
47,N2E,unknown,1 - 3 years,1,0,N,,,,39149,0.207,0.687,0.106,0.015,36.4,35.5,0.586112454,3.1,0.802797834,0.614390107,50514,55764,77036,0.118,0.929521105,0.300761585,0.688937568,0.310332238,0.191325696,0.313256956,0.495417349,0.066121113,0.234860884,0.177414075,0.72,0.672,0.067
48,N2E,30 - 39,less than 1,1,0,N,,,,39149,0.207,0.687,0.106,0.015,36.4,35.5,0.586112454,3.1,0.802797834,0.614390107,50514,55764,77036,0.118,0.929521105,0.300761585,0.688937568,0.310332238,0.191325696,0.313256956,0.495417349,0.066121113,0.234860884,0.177414075,0.72,0.672,0.067
49,N2T,20 - 29,less than 1,0,1,Y,2005,37,"$500 - $2,000",20701,0.187,0.697,0.116,0.013,38.1,39.5,0.631203566,3.1,0.869674185,0.637848223,71976,84436,109496,0.091,0.904645477,0.304964539,0.885174419,0.114825581,0.109876914,0.241368958,0.649054338,0.034223957,0.156109276,0.438306815,0.695,0.647,0.069
50,N2L,40 - 49,less than 1,1,0,Y,1997,12,"$2,000 + ",27758,0.121,0.71,0.169,0.026,39.2,33.3,0.466079115,2.8,0.838391502,0.441628959,56592,69782,60683,0.227,0.832392057,0.227181636,0.464449064,0.535550936,0.113380575,0.306586078,0.580241767,0.038766153,0.144852022,0.377448937,0.58,0.532,0.083
51,N2L,50 - 59,less than 1,1,0,Y,1997,12,"$2,000 + ",27758,0.121,0.71,0.169,0.026,39.2,33.3,0.466079115,2.8,0.838391502,0.441628959,56592,69782,60683,0.227,0.832392057,0.227181636,0.464449064,0.535550936,0.113380575,0.306586078,0.580241767,0.038766153,0.144852022,0.377448937,0.58,0.532,0.083
52,N2L,20 - 29,less than 1,1,0,Y,1997,12,"$2,000 + ",27758,0.121,0.71,0.169,0.026,39.2,33.3,0.466079115,2.8,0.838391502,0.441628959,56592,69782,60683,0.227,0.832392057,0.227181636,0.464449064,0.535550936,0.113380575,0.306586078,0.580241767,0.038766153,0.144852022,0.377448937,0.58,0.532,0.083
53,N2E,under 20,less than 1,1,0,N,,,,39149,0.207,0.687,0.106,0.015,36.4,35.5,0.586112454,3.1,0.802797834,0.614390107,50514,55764,77036,0.118,0.929521105,0.300761585,0.688937568,0.310332238,0.191325696,0.313256956,0.495417349,0.066121113,0.234860884,0.177414075,0.72,0.672,0.067
54,N2E,under 20,less than 1,1,0,N,,,,39149,0.207,0.687,0.106,0.015,36.4,35.5,0.586112454,3.1,0.802797834,0.614390107,50514,55764,77036,0.118,0.929521105,0.300761585,0.688937568,0.310332238,0.191325696,0.313256956,0.495417349,0.066121113,0.234860884,0.177414075,0.72,0.672,0.067
55,N2E,unknown,1 - 3 years,1,0,Y,2018,1,under $50,39149,0.207,0.687,0.106,0.015,36.4,35.5,0.586112454,3.1,0.802797834,0.614390107,50514,55764,77036,0.118,0.929521105,0.300761585,0.688937568,0.310332238,0.191325696,0.313256956,0.495417349,0.066121113,0.234860884,0.177414075,0.72,0.672,0.067
56,N2N,40 - 49,less than 1,1,0,N,,,,26490,0.18,0.687,0.133,0.018,38.9,38.8,0.620308542,3.1,0.850225952,0.600607441,55311,61249,94098,0.08,0.94996136,0.284196291,0.845629966,0.154370034,0.153718617,0.294410232,0.551871151,0.066556135,0.22951208,0.237565135,0.716,0.672,0.062
57,N2N,unknown,5 - 10 years,1,0,N,,,,26490,0.18,0.687,0.133,0.018,38.9,38.8,0.620308542,3.1,0.850225952,0.600607441,55311,61249,94098,0.08,0.94996136,0.284196291,0.845629966,0.154370034,0.153718617,0.294410232,0.551871151,0.066556135,0.22951208,0.237565135,0.716,0.672,0.062
58,N3C,unknown,3 - 5 years,1,0,N,,,,26662,0.206,0.681,0.114,0.013,37.5,38.2,0.640613932,3.1,0.8588839,0.610903659,58880,67419,98888,0.056,0.967607501,0.16499337,0.849673203,0.15087146,0.165871122,0.310023866,0.524105012,0.061336516,0.252983294,0.192124105,0.752,0.71,0.056
